Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
110,Cocina Drean CD5502AI,Dk-CCNA-Elect-Z1A,Dk,CCNA,Elect,Z1A
111,Horno Longive H1500XF,AN-CCNA-Elect-Z1A,AN,CCNA,Elect,Z1A
112,Cocina Electrolux 56DXQ,Dx-CCNA-Pnt-Z3G,Dx,CCNA,Pnt,Z3G
113,Anafe Longive A2600XF,AN-CCNA-Elect-Z1A,AN,CCNA,Elect,Z1A
114,Vera-Lavatorio Monocomando Alto-Linea Vera (S-B),AN-LavVera-Elect-Z1A,AN,LavVera,Elect,Z1A
115,Peirano Soria-Bide Monocomando C/Transferencia-70-152-Linea Soria,AN-BdeSor-Elect-Z1A,AN,BdeSor,Elect,Z1A
116,Temple Juego Cocina Monoc.C/Rociador-0412/87-CR,AN-CnaTmple-Elect-Z1A,AN,CnaTmple,Elect,Z1A
117,Riel Embutir Magnetico Slim Negro Microled 3 metros 48V RMS-E-3M,AN-REMSL348-Elect-Z1A,AN,REMSL348,Elect,Z1A
118,Riel Embutir Magnetico Slim Negro Macroled 2 metros 48V RMS-E-2M,AN-REMSL248-Elect-Z1A,AN,REMSL248,Elect,Z1A
119,Acople Horizontal para Riel de Embutir Magnetico Slim Macroled RMS-CL-E,AN-ALHSM-Elect-Z1A,AN,ALHSM,Elect,Z1A
120,Tend 60x120 C&S Sunny In x 1;44 M2,AN-PRCin144-Crrln-Z3G,AN,PRCin144,Crrln,Z3G
121,Tend 60x120 C&S Sunny Out x 1;44M2,Aw-PRCout144-Sant-Z2B,Aw,PRCout144,Sant,Z2B
122,Ilva 45x90 Mediterranea Dig Steel i x 1;22M2,AN-PRCmd122-Elect-Z1A,AN,PRCmd122,Elect,Z1A
123,KlK Mezcla Porcelanato x 30 Kg,AN-MzclaPc-Elect-Z1A,AN,MzclaPc,Elect,Z1A
124,Pastina Prestige Perlato x 5 Kg (x bolsa),AN-Pstina-Elect-Z1A,AN,Pstina,Elect,Z1A
125,Temple Juego Cocina Monoc.C/Rociador-0412/87-CR,AN-CnnaMonoc-Elect-Z1A,AN,CnnaMonoc,Elect,Z1A
126,Varese-Deposito de Apoyar-Linea Varese,AN-DpsitoApoy-Elect-Z1A,AN,DpsitoApoy,Elect,Z1A
127,Varese-Bidet 1AG-Linea Varese,Ep-Bdt1AGVrs-Elect-Z1A,Ep,Bdt1AGVrs,Elect,Z1A
128,Varese-Inodoro Largo-Linea Varese,Erpa-IndlrgVrs-Sant-Z2B,Erpa,IndlrgVrs,Sant,Z2B
129,Daccord Bari-Tapa Mdf Herraje Nylon,Erpa-TpBari-Sant-Z2B,Erpa,TpBari,Sant,Z2B
130,Bari-Deposito de Apoyar Desc Dual-Linea Bari,Erpa-DpsitoBari-Sant-Z2B,Erpa,DpsitoBari,Sant,Z2B
131,Bari-Inodoro Largo-Linea Bari,Frr-IndBari-Sant-Z2B,Frr,IndBari,Sant,Z2B
132,Bacha Porcelana Sanitaria,AN-BchaPor-Elect-Z1A,AN,BchaPor,Elect,Z1A
133,Pileta Acero 304 Simple-Luxor SI 71A-Simples-71x48;2x21,Fv-Pleta71x48-Sant-Z2B,Fv,Pleta71x48,Sant,Z2B
134,Varese/Veneto-Tapa Asiento Uf C/Cierre Suave-Linea Varese,Gr-TpaVrse-Elect-Z1A,Gr,TpaVrse,Elect,Z1A
135,9 de julio Conector de hierro 1 (Bolsa de 50),Gr-CH1-Elect-Z1A,Gr,CH1,Elect,Z1A
136,Ag.Met Grampa media Omega 3/4 Li.Zincada,Gr-GrMO3/4-Elect-Z1A,Gr,GrMO3/4,Elect,Z1A
137,BmB Curva de Plastico para caño 3/4 (Bolson),Gr-CP3/4-Elect-Z1A,Gr,CP3/4,Elect,Z1A
138,Gen Rod Caja Termica 36 Bocas Embutir Plastica Ecoo,Gr-CT36B-Elect-Z1A,Gr,CT36B,Elect,Z1A
139,Gen Rod Jabalina C/Toma Cable 3/8x1Mts,Gr-JTC3/8-Elect-Z1A,Gr,JTC3/8,Elect,Z1A
140,Jeluz Termica 2x16,Gr-T2x16-Elect-Z1A,Gr,T2x16,Elect,Z1A
141,Jeluz Termica 2x20,Gr-T2X20-Elect-Z1A,Gr,T2X20,Elect,Z1A
142,Jeluz Disyuntor Diferencial 2x40A,Gr-DD2X40-Elect-Z1A,Gr,DD2X40,Elect,Z1A
143,Schneider Peine Bipolar 80A 12 Polos,Gr-PAB8012P-Elect-Z1A,Gr,PAB8012P,Elect,Z1A
144,Tacsa Taco 6MMx40 Kit Tarugo+Tornillo Bolsita (xbolsa),Gr-TARTOR6MM-Elect-Z1A,Gr,TARTOR6MM,Elect,Z1A
145,Tbcin Terminal de cobre estañado 2;5MM,Lngv-TerCo2;5-Eldom-Z2A,Lngv,TerCo2;5,Eldom,Z2A
146,Tbcin Punta Hueca Negra 1;5MM,Hfr-PtaHuNe1;5-Elect-Z1A,Hfr,PtaHuNe1;5,Elect,Z1A
147,Tecnocom Caño Plastico Rigido Blanco 3/4 (37u),Hfr-CÑPlas3/4-Elect-Z1A,Hfr,CÑPlas3/4,Elect,Z1A
148,Tecnocom Caño Plastico Rigido Blanco 1 (20u),Rc-CÑPlas1-Sant-Z2B,Rc,CÑPlas1,Sant,Z2B
149,Jeluz Termica 2x10,Ilv-T2X10-Crrln-Z3G,Ilv,T2X10,Crrln,Z3G
150,Gen Rod Caja de Inspeccion Jabalina 15x15 Aislante,Rc-CINSPJAB1515-Sant-Z2B,Rc,CINSPJAB1515,Sant,Z2B
151,Soria-Lavatorio Pared Embutir Monoc-63-152-Linea Soria,Jhns-LavEmbSor-Sant-Z2B,Jhns,LavEmbSor,Sant,Z2B
152,Codo Aw 90 M-H 50,Jhns-CD90MH50-Sant-Z2B,Jhns,CD90MH50,Sant,Z2B
153,Erpa Disco Corte Abrasivo DSA PCP,Jz-DscoAbrsv-Elect-Z1A,Jz,DscoAbrsv,Elect,Z1A
154,Atrim Desague Lienal 45Cm PP onda mate,Jz-LinalDes45-Elect-Z1A,Jz,LinalDes45,Elect,Z1A
155,Tubo Aw Mac-Hem 1 Mt 50,Jz-TUBMacH1;5-50-Elect-Z1A,Jz,TUBMacH1;5-50,Elect,Z1A
156,Codo Aw 45 H-H 50,Jz-CD45HH50-Elect-Z1A,Jz,CD45HH50,Elect,Z1A
157,Tapa 3;2 110,Jz-TP3;2-110-Elect-Z1A,Jz,TP3;2-110,Elect,Z1A
158,Codo Aw 90 H-H 50,Jz-CD90HH50-Elect-Z1A,Jz,CD90HH50,Elect,Z1A
159,Erpa Disco Amarillo 115 Segmentado,Jz-DscoSegmenAmari115-Elect-Z1A,Jz,DscoSegmenAmari115,Elect,Z1A
160,Manguito Aw 110,Jz-Mang110-Elect-Z1A,Jz,Mang110,Elect,Z1A
161,Boca Aw Acc Horizontal Acome Cerrados 110x63,Jz-BcaHrz110x63-Elect-Z1A,Jz,BcaHrz110x63,Elect,Z1A
162,Codo Aw 45 H-H 110,Jz-CD45HH110-Elect-Z1A,Jz,CD45HH110,Elect,Z1A
163,Tapa 3;2 50,Jz-TP3;2-50-Elect-Z1A,Jz,TP3;2-50,Elect,Z1A
164,Codo Aw 90 M-H 110,Jz-CD90MH110-Elect-Z1A,Jz,CD90MH110,Elect,Z1A
165,Ramal Aw 45 110X40 M-H,Jz-RM45MH110X40-Elect-Z1A,Jz,RM45MH110X40,Elect,Z1A
166,Manguito Aw 40,Jz-Mang40-Elect-Z1A,Jz,Mang40,Elect,Z1A
167,Manguito Aw 63,Jz-Mang63-Elect-Z1A,Jz,Mang63,Elect,Z1A
168,Tubo Aw Mac-Hem 1;00 Mt 110,Jz-TUBMacH1-110-Elect-Z1A,Jz,TUBMacH1-110,Elect,Z1A
169,Tubo Aw Mac-Hem 1;00 Mt 63,Jz-TUBMacH1-63-Elect-Z1A,Jz,TUBMacH1-63,Elect,Z1A
170,Codo Aw 90 M-H 40,Jhns-CD90MH40-Sant-Z2B,Jhns,CD90MH40,Sant,Z2B
171,Tubo Aw Mac-Hem 1;00 Mt 40,Jhns-TUBMacH1-40-Sant-Z2B,Jhns,TUBMacH1-40,Sant,Z2B
