Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
395,Anafe Longvie A6600XF,Lngv-CCNA6600-Eldom-Z2A,Lngv,CCNA6600,Eldom,Z2A
396,Bomba Presurizadora Motorarg,AN-BombaPresMotorarg-Sant-Z2B,AN,BombaPresMotorarg,Sant,Z2B
397,Perfiles para Mensula mesada,AN-PMM-Sant-Z2B,AN,PMM,Sant,Z2B
398,Mensula para mesada,AN-MensMes-Sant-Z2B,AN,MensMes,Sant,Z2B
399,Robinet Bronx Lavatorio Pared Bronce viejo,Rb-LavBronceViejo-Sant-Z2B,Rb,LavBronceViejo,Sant,Z2B
400,Abb Disyuntor 2x25A 2 Polos,Ab2-DD2X25-Elect-Z1A,Ab2,DD2X25,Elect,Z1A
401,Abb Disyuntor 2x40 2 Polos,Ab3-DD2X40-Elect-Z1A,Ab3,DD2X40,Elect,Z1A
402,Abb Termica Din 2x32,Ab4-T2X32-Elect-Z1A,Ab4,T2X32,Elect,Z1A
403,Gen Rod Caja Termica Exterior 1 Bip Blanca con tapa Fumé,Gr-CTExt1Bip-Elect-Z1A,Gr,CTExt1Bip,Elect,Z1A
404,Gen Rod Caja Exterior Plastica 12 Bocas Ecoo,Gr-CTExt12B-Elect-Z1A,Gr,CTExt12B,Elect,Z1A
405,Gen Rod Caja Exterior Plastica 8 ocas Ecoo,Gr-CTExt8B-Elect-Z1A,Gr,CTExt8B,Elect,Z1A
406,Gen Rod Caja de Conexión Estanca PVC 165x165x80 Blanca,Gr-CEstanca165x165x80-Elect-Z1A,Gr,CEstanca165x165x80,Elect,Z1A
407,Gen Rod Caja de Conexión Estanca PVC 210x210x110 Blanco,Gr-CEstanca210x210x110-Elect-Z1A,Gr,CEstanca210x210x110,Elect,Z1A
408,Termotanque Electrico 53 Lts Escorial,AN-TermoElec53Lts-Sant-Z2B,AN,TermoElec53Lts,Sant,Z2B
409,Pintura Casablanca Fibrada Blanco (Abierto) (Lts),CB-PintCasablancaFibradaBlanco-Pint-Z3G,CB,PintCasablancaFibradaBlanco,Pint,Z3G
410,Restaurador Llana (Abierto) (Kg),AN-Restaurador Llana-Pint-Z3G,AN,Restaurador Llana,Pint,Z3G
411,Masilla Casablanca (Cerrado)(Kg),CB-MasillaCblanca-Pint-Z3G,CB,MasillaCblanca,Pint,Z3G
412,Pintura Quantum Cielorraso Blanco Mate (Abierto) (Lts),AN-PinturaClrrsoMatBlan-Pint-Z3G,AN,PinturaClrrsoMatBlan,Pint,Z3G
413,Masilla Casablanca (Abierto) (Kg),CB-MasillaCblanca-Pint-Z3G,CB,MasillaCblanca,Pint,Z3G
414,Laca al Agua Llana (Abierto) (Lts),AN-LacaalAguaLlana-Pint-Z3G,AN,LacaalAguaLlana,Pint,Z3G
415,Pintura Casablanca Exterior Blanco (Abierto) (Kg),CB-PintCasablancaExtBlanco-Pint-Z3G,CB,PintCasablancaExtBlanco,Pint,Z3G
416,Jeluz Platinum Modulo 2 Tomas Combinado + Tierra 2x10A-250Vca Bl,Jz-MTC2-Elect-Z1A,Jz,MTC2,Elect,Z1A
417,Bomba Vulcano de 075,Vlcno-BmbaVulcano075-Sant-Z2B,Vlcno,BmbaVulcano075,Sant,Z2B
418,Filtro Vulcano de 30,Vlcno-Filtro30-Sant-Z2B,Vlcno,Filtro30,Sant,Z2B
419,Weber Col SuperFlex 25Kg,AN-WberSpFlx-Crrln-Z3G,AN,WberSpFlx,Crrln,Z3G
