Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
138,Gen Rod Caja Termica 36 Bocas Embutir Plastica Ecoo,Gr-CT36B-Elect-Z1A,Gr,CT36B,Elect,Z1A
139,Gen Rod Jabalina C/Toma Cable 3/8x1Mts,Gr-JTC3/8-Elect-Z1A,Gr,JTC3/8,Elect,Z1A
140,Jeluz Termica 2x16,Jz-T2x16-Elect-Z1A,Jz,T2x16,Elect,Z1A
141,Jeluz Termica 2x20,Jz-T2X20-Elect-Z1A,Jz,T2X20,Elect,Z1A
142,Jeluz Disyuntor Diferencial 2x40A,Jz-DD2X40-Elect-Z1A,Jz,DD2X40,Elect,Z1A
143,Schneider Peine Bipolar 80A 12 Polos,Shn-PAB8012P-Elect-Z1A,Shn,PAB8012P,Elect,Z1A
144,Tacsa Taco 6MMx40 Kit Tarugo+Tornillo Bolsita (xbolsa),Tcs-TARTOR6MM-Frrt-Z1B,Tcs,TARTOR6MM,Frrt,Z1B
145,Tbcin Terminal de cobre estañado 2;5MM,Tbc-TerCo2;5-Elect-Z1A,Tbc,TerCo2;5,Elect,Z1A
146,Tbcin Punta Hueca Negra 1;5MM,Tbc-PtaHuNe1;5-Elect-Z1A,Tbc,PtaHuNe1;5,Elect,Z1A
147,Tecnocom Caño Plastico Rigido Blanco 3/4 (37u),Tcm-CÑPlas3/4-Elect-Z1A,Tcm,CÑPlas3/4,Elect,Z1A
148,Tecnocom Caño Plastico Rigido Blanco 1 (20u),Tcm-CÑPlas1-Elect-Z1A,Tcm,CÑPlas1,Elect,Z1A
149,Jeluz Termica 2x10,Jz-T2X10-Elect-Z1A,Jz,T2X10,Elect,Z1A
150,Gen Rod Caja de Inspeccion Jabalina 15x15 Aislante,Gr-CINSPJAB1515-Elect-Z1A,Gr,CINSPJAB1515,Elect,Z1A
151,Soria-Lavatorio Pared Embutir Monoc-63-152-Linea Soria,Pei-LavEmbSor-Sant-Z2B,Pei,LavEmbSor,Sant,Z2B
152,Codo Aw 90 M-H 50,Aw-CD90MH50-Sant-Z2B,Aw,CD90MH50,Sant,Z2B
153,Erpa Disco Corte Abrasivo DSA PCP,Erpa-DscoAbrsv-Sant-Z2B,Erpa,DscoAbrsv,Sant,Z2B
154,Atrim Desague Lienal 45Cm PP onda mate,Atr-LinalDes45-Sant-Z2B,Atr,LinalDes45,Sant,Z2B
155,Tubo Aw Mac-Hem 1 Mt 50,Aw-TUBMacH1;5-50-Sant-Z2B,Aw,TUBMacH1;5-50,Sant,Z2B
156,Codo Aw 45 H-H 50,Aw-CD45HH50-Sant-Z2B,Aw,CD45HH50,Sant,Z2B
157,Tapa 3;2 110,AN-TP3;2-110-Sant-Z2B,AN,TP3;2-110,Sant,Z2B
158,Codo Aw 90 H-H 50,Aw-CD90HH50-Sant-Z2B,Aw,CD90HH50,Sant,Z2B
159,Erpa Disco Amarillo 115 Segmentado,Erpa-DscoSegmenAmari115-Sant-Z2B,Erpa,DscoSegmenAmari115,Sant,Z2B
160,Manguito Aw 110,Aw-Mang110-Sant-Z2B,Aw,Mang110,Sant,Z2B
161,Boca Aw Acc Horizontal Acome Cerrados 110x63,Aw-BcaHrz110x63-Sant-Z2B,Aw,BcaHrz110x63,Sant,Z2B
162,Codo Aw 45 H-H 110,Aw-CD45HH110-Sant-Z2B,Aw,CD45HH110,Sant,Z2B
163,Tapa 3;2 50,Aw-TP3;2-50-Sant-Z2B,Aw,TP3;2-50,Sant,Z2B
164,Codo Aw 90 M-H 110,Aw-CD90MH110-Sant-Z2B,Aw,CD90MH110,Sant,Z2B
165,Ramal Aw 45 110X40 M-H,Aw-RM45MH110X40-Sant-Z2B,Aw,RM45MH110X40,Sant,Z2B
166,Manguito Aw 40,Aw-Mang40-Sant-Z2B,Aw,Mang40,Sant,Z2B
167,Manguito Aw 63,Aw-Mang63-Sant-Z2B,Aw,Mang63,Sant,Z2B
168,Tubo Aw Mac-Hem 1;00 Mt 110,Aw-TUBMacH1-110-Sant-Z2B,Aw,TUBMacH1-110,Sant,Z2B
169,Tubo Aw Mac-Hem 1;00 Mt 63,Aw-TUBMacH1-63-Sant-Z2B,Aw,TUBMacH1-63,Sant,Z2B
170,Codo Aw 90 M-H 40,Aw-CD90MH40-Sant-Z2B,Aw,CD90MH40,Sant,Z2B
171,Tubo Aw Mac-Hem 1;00 Mt 40,Aw-TUBMacH1-40-Sant-Z2B,Aw,TUBMacH1-40,Sant,Z2B
172,Erpa Disco Amarillo 230 Segmentado,Erpa-DscoSegmenAmari230-Sant-Z2B,Erpa,DscoSegmenAmari230,Sant,Z2B
173,Codo Aw 45 H-H 63,Aw-CD45HH63-Sant-Z2B,Aw,CD45HH63,Sant,Z2B
174,Solucion Losung Lubricante 400 CC,Lsng-SolucLubric400-Sant-Z2B,Lsng,SolucLubric400,Sant,Z2B
175,Codo Aw 90 M-H 63,Aw-CD90MH63-Sant-Z2B,Aw,CD90MH63,Sant,Z2B
176,Ramal Aw 45 40X40 M-H,Aw-RM45MH40X40-Sant-Z2B,Aw,RM45MH40X40,Sant,Z2B
177,Codo Aw Hembra Corta H-H 40,Aw-CDHEMBR40HH-Sant-Z2B,Aw,CDHEMBR40HH,Sant,Z2B
178,Buje Aw M-H 110X63,Aw-BJ110X63MH-Sant-Z2B,Aw,BJ110X63MH,Sant,Z2B
179,Codo Aw 90 H-H 40,Aw-CD90HH40-Sant-Z2B,Aw,CD90HH40,Sant,Z2B
180,Codo Aw 45 H-H 40,Aw-CD45HH40-Sant-Z2B,Aw,CD45HH40,Sant,Z2B
181,Tubo Aw Mac-Hem 2;00 Mt 63,Aw-TUBMacH2-63-Sant-Z2B,Aw,TUBMacH2-63,Sant,Z2B
182,Tapa 3;2 40,Aw-TP3;2-40-Sant-Z2B,Aw,TP3;2-40,Sant,Z2B
183,Codo Aw 45 M-H 50,Aw-CD45MH50-Sant-Z2B,Aw,CD45MH50,Sant,Z2B
184,Tubo Aw Mac-Hem 2;00 Mt 40,Aw-TUBMacH2-40-Sant-Z2B,Aw,TUBMacH2-40,Sant,Z2B
185,Ramal Aw 45 110X63 M-H,Aw-RM45MH110X63-Sant-Z2B,Aw,RM45MH110X63,Sant,Z2B
186,Boca Aw Ac-Cocina 63x50,Aw-BCCocin63x50-Sant-Z2B,Aw,BCCocin63x50,Sant,Z2B
187,Embudo Aw Acanalado C/Rej 20x20,Aw-EMBAcan20x20-Sant-Z2B,Aw,EMBAcan20x20,Sant,Z2B
188,Codo Aw 45 M-H 40,Aw-CD45MH40-Sant-Z2B,Aw,CD45MH40,Sant,Z2B
189,Pileta Aw Poli.15X15 C/Oring,Aw-Pleta15X15Oring-Sant-Z2B,Aw,Pleta15X15Oring,Sant,Z2B
190,Codo Aw 45 M-H 110,Aw-CD45MH110-Sant-Z2B,Aw,CD45MH110,Sant,Z2B
191,O.V Cam Cojinete C/Marco 110 y Tapa,O.V-CamCjnMarcoyTapa110-Sant-Z2B,O.V,CamCjnMarcoyTapa110,Sant,Z2B
192,Ramal Aw 45 63X63 M-H,Aw-RM45MH63X63-Sant-Z2B,Aw,RM45MH63X63,Sant,Z2B
193,O.V CAM Aro Suplementario 10Cm,O.V-CamAroSuplm10-Sant-Z2B,O.V,CamAroSuplm10,Sant,Z2B
194,Codo Aw 90 H-H 110,Aw-CD90HH110-Sant-Z2B,Aw,CD90HH110,Sant,Z2B
195,Codo Aw 45 M-H 63,Aw-CD45MH63-Sant-Z2B,Aw,CD45MH63,Sant,Z2B
196,Ramal Aw 45 110X110 M-H,Aw-RM45MH110X110-Sant-Z2B,Aw,RM45MH110X110,Sant,Z2B
197,Tapas Colector losa Radiante,AN-TPColectLR-Elect-Z1A,AN,TPColectLR,Elect,Z1A
198,Marcos Colector losa Radiante,AN-MRCColectLR-Elect-Z1A,AN,MRCColectLR,Elect,Z1A
199,GenRod Caja Estanca 10X10,Gr-CESTAN10X10-Elect-Z1A,Gr,CESTAN10X10,Elect,Z1A
200,GenRod Caja para Termica 48 Bocas Embutir Plastica Ecoo,Gr-CT48B-Elect-Z1A,Gr,CT48B,Elect,Z1A
201,ICONIA ROCA MONOC. DUCHA C/T CR,Rc-DchaIconia-Sant-Z2B,Rc,DchaIconia,Sant,Z2B
202,Huferjo Caño Rigido 3/4 x 3mts,Hfr-CÑPlas3/4-Elect-Z1A,Hfr,CÑPlas3/4,Elect,Z1A
203,Huferjo Curva Pvc 3/4,Hfr-CP3/4-Elect-Z1A,Hfr,CP3/4,Elect,Z1A
204,Sassin Peine Bipolar 63A,Sass-PAB6312P-Elect-Z1A,Sass,PAB6312P,Elect,Z1A
205,Veyka Tarugo y Tornillo 6mm,Veyk-TARTOR6MM-Elect-Z1A,Veyk,TARTOR6MM,Elect,Z1A
206,Argenplas Conductor Unipolar 1;5 MM Celeste,Argnpls-CU1.5-C-Elect-Z1A,Argnpls,CU1.5-C,Elect,Z1A
207,Argenplas Conductor Unipolar 1;5 MM Rojo,Argnpls-CU1.5-R-Elect-Z1A,Argnpls,CU1.5-R,Elect,Z1A
208,Tachos de Pintura Asfaltica 18 Lts,AN-TACHPINTASFLTX18LT-Pint-Z3G,AN,TACHPINTASFLTX18LT,Pint,Z3G
209,Amaco Tubo 25mm gris para Desague A.A 2m,Amco-TUBDes25mm-Sant-Z2B,Amco,TUBDes25mm,Sant,Z2B
210,Codo Aw 40 H-H 90,Aw-CD40HH90-Sant-Z2B,Aw,CD40HH90,Sant,Z2B
211,Codo Aw 40 M-H 90,Aw-CD40MH90-Sant-Z2B,Aw,CD40MH90,Sant,Z2B
212,Pileta de Patio Bajo Losa Aw,Aw-PletaPatioBajoLosa-Sant-Z2B,Aw,PletaPatioBajoLosa,Sant,Z2B
213,Buje PP 2 X 11/2,AN-BJ2X11/2-Sant-Z2B,AN,BJ2X11/2,Sant,Z2B
214,SD Tubo PVC CL 10 40,Amnco-TUBPvc1040-Sant-Z2B,Amnco,TUBPvc1040,Sant,Z2B
215,SD Manguito R/M 40X11/2,Amnco-Mang40x11/2-Sant-Z2B,Amnco,Mang40x11/2,Sant,Z2B
216,SD Buje Corto HH 50X40,Amnco-BJCorto50x40-Sant-Z2B,Amnco,BJCorto50x40,Sant,Z2B
217,Adhesivo Losung 500 CM3 C/Pincel,Lsng-Adh500Cm3Cpincel-Sant-Z2B,Lsng,Adh500Cm3Cpincel,Sant,Z2B
218,Vulcano Toma de Fondo C/Tapa,Vlcno-Tomac/Tapa-Sant-Z2B,Vlcno,Tomac/Tapa,Sant,Z2B
219,SD Codo 45º 40MM Amanco,Amnco-CD45º40MM-Sant-Z2B,Amnco,CD45º40MM,Sant,Z2B
220,SD Codo 90º 40MM Amanco,Amnco-CD90º40MM-Sant-Z2B,Amnco,CD90º40MM,Sant,Z2B
221,Awaduct Cupla de 63MM,Aw-C63MM-Sant-Z2B,Aw,C63MM,Sant,Z2B
222,Awaduct Cupla de 110MM,Aw-C110MM-Sant-Z2B,Aw,C110MM,Sant,Z2B
223,Awaduct Tapon 110MM,Aw-TAPON110-Sant-Z2B,Aw,TAPON110,Sant,Z2B
224,Awaduct Tapa 110,Aw-TP110-Sant-Z2B,Aw,TP110,Sant,Z2B
225,Awaduct Sifon de Pared,Aw-SifonPared-Sant-Z2B,Aw,SifonPared,Sant,Z2B
226,Awaduct Caño 50X50,Aw-CÑ50X50-Sant-Z2B,Aw,CÑ50X50,Sant,Z2B
227,Awaduct Caño 40X50,Aw-CÑ40X50-Sant-Z2B,Aw,CÑ40X50,Sant,Z2B
228,Amanco Caño 20MM Fusion Verde,Amnco-CÑ20MMFsnVerde-Sant-Z2B,Amnco,CÑ20MMFsnVerde,Sant,Z2B
229,Amanco Caño 25MM Fusion Verde,Amnco-CÑ25MMFsnVerde-Sant-Z2B,Amnco,CÑ25MMFsnVerde,Sant,Z2B
230,Amanco Caño 32MM Fusion Verde,Amnco-CÑ32MMFsnVerde-Sant-Z2B,Amnco,CÑ32MMFsnVerde,Sant,Z2B
231,Embutido C/ placa Led 7W Bt:Alther,AN-EMBTPlcLed7W-Elect-Z1A,AN,EMBTPlcLed7W,Elect,Z1A
232,Downligh Medida Linea (1;70) Cocina,AN-DwnLMedida(1;70)-Elect-Z1A,AN,DwnLMedida(1;70),Elect,Z1A
233,Downligh Medida Linea (1;20) Cocina y Oficina,AN-DwnLMedida(1;20)-Elect-Z1A,AN,DwnLMedida(1;20),Elect,Z1A
234,Empotrable 10 Luces 275MM 30L 20W Gyon Plus,AN-Empotrb10L275MM-Elect-Z1A,AN,Empotrb10L275MM,Elect,Z1A
235,Empotrable 5Luces 142MM 30L 10W Gyon Plus,AN-Empotrb5L142MM-Elect-Z1A,AN,Empotrb5L142MM,Elect,Z1A
236,Empotrable 2 Luces 63 MM 45L 14W Gyon Plus,AN-Empotrb2L63MM-Elect-Z1A,AN,Empotrb2L63MM,Elect,Z1A
237,Empotrable 1 Luzs 40 MM 45L 2W Gyon Plus,AN-Empotrb1L40MM-Elect-Z1A,AN,Empotrb1L40MM,Elect,Z1A
238,Aplique de Ext/Int GU10 1X7W Wing,AN-Aplque1X7W-Elect-Z1A,AN,Aplque1X7W,Elect,Z1A
239,Unidireccional Aluminio Negro Wing 1,AN-UniAlNegro-Elect-Z1A,AN,UniAlNegro,Elect,Z1A
240,Plafon 5 Luces 140MM C/Opticas 10W 30 Gyon,AN-Plfn5L140MM-Elect-Z1A,AN,Plfn5L140MM,Elect,Z1A
241,Downligh Perimetral Comedor 3000K (9;00M),AN-DwnLPerimetralCOMEDOR9MM-Elect-Z1A,AN,DwnLPerimetralCOMEDOR9MM,Elect,Z1A
242,Downligh Perimetral Pasillo 3000K (3;00M),AN-DwnLPerimetralPASILLO3MM-Elect-Z1A,AN,DwnLPerimetralPASILLO3MM,Elect,Z1A
243,Downligh Perimetral Toilett (1M),AN-DwnLPerimetralTOILETT1MM-Elect-Z1A,AN,DwnLPerimetralTOILETT1MM,Elect,Z1A
244,Downligh Perimetral Baño 3000K (2;00M),AN-DwnLPerimetralBAÑO2MM-Elect-Z1A,AN,DwnLPerimetralBAÑO2MM,Elect,Z1A
245,Dicrioca PVC 7W GU10 Luz Calida,AN-DicriocaPVC7Wcal-Elect-Z1A,AN,DicriocaPVC7Wcal,Elect,Z1A
246,Fuente 220-12V,AN-F220-12V-Elect-Z1A,AN,F220-12V,Elect,Z1A
247,Te de 20 Fusion verde Amanco,Amnco-TeFus20-Sant-Z2B,Amnco,TeFus20,Sant,Z2B
248,Te de 25X20 Fusion verde Amanco,Amnco-TeFus25X20-Sant-Z2B,Amnco,TeFus25X20,Sant,Z2B
249,Te de 25X25 Fusion verde Amanco,Amnco-TeFus25X25-Sant-Z2B,Amnco,TeFus25X25,Sant,Z2B
250,Tapa de 25 Fusion Verde Amanco,Amnco-TPFus25-Sant-Z2B,Amnco,TPFus25,Sant,Z2B
251,Tapa de 32 Fusion Verde Amanco,Amnco-TPFus32-Sant-Z2B,Amnco,TPFus32,Sant,Z2B
252,Cupla de 32 Fusion verde Amanco,Amnco-CFus32-Sant-Z2B,Amnco,CFus32,Sant,Z2B
253,Te de 32 Fusion verde Amanco,Amnco-TeFus32-Sant-Z2B,Amnco,TeFus32,Sant,Z2B
254,Codo 25X3/4 R-H Fusion verde Amanco,Amnco-CD25X3/4-Sant-Z2B,Amnco,CD25X3/4,Sant,Z2B
255,Awaduct Cupla de 40MM,Aw-C40MM-Sant-Z2B,Aw,C40MM,Sant,Z2B
256,Manguito Aw 40 con rosca 3/4,Amnco-Mang40cRosca3/4-Sant-Z2B,Amnco,Mang40cRosca3/4,Sant,Z2B
257,Awaduct Caño de 50X1M,Aw-CÑ50X1M-Sant-Z2B,Aw,CÑ50X1M,Sant,Z2B
258,Awaduct Caño de 40X1M,Aw-CÑ40X1M-Sant-Z2B,Aw,CÑ40X1M,Sant,Z2B
259,Codo 25MM gris Amanco,Amnco-CD25MM-Sant-Z2B,Amnco,CD25MM,Sant,Z2B
260,Cupla de 25 Fusion gris Amanco,Amnco-CFus25-Sant-Z2B,Amnco,CFus25,Sant,Z2B
262,Codo 20MM gris Amanco,Amnco-CD20MM-Sant-Z2B,Amnco,CD20MM,Sant,Z2B
263,Tbcin Punta Hueca gris 2;5MM,Tbc-PtaHuGr2;5-Elect-Z1A,Tbc,PtaHuGr2;5,Elect,Z1A
264,Peirano Vigo Cocina Mes.Monoc C/Duch Extens,Pei-CnaVigo-Sant-Z2B,Pei,CnaVigo,Sant,Z2B
265,Peirano Fabric Cocina Monocomando Gold,Pei-CnaFabricGold-Sant-Z2B,Pei,CnaFabricGold,Sant,Z2B
266,Robinet Bronx Bidet Oxido,Rb-BdtBronx-Sant-Z2B,Rb,BdtBronx,Sant,Z2B
267,Roca Inod The Gap LGO Sd Bco,Rc-IndTGapLgO-Sant-Z2B,Rc,IndTGapLgO,Sant,Z2B
268,Roca Depos The Gap 6/3 lts Bco,Rc-DeposTGap6/3lts-Sant-Z2B,Rc,DeposTGap6/3lts,Sant,Z2B
269,Roca Bidet The Gap 1AG C/LL Bco,Rc-BdtTGap1AG-Sant-Z2B,Rc,BdtTGap1AG,Sant,Z2B
270,Roca Bidet The Gap 3AG C/LL Bco,Rc-BdtTGap3AG-Sant-Z2B,Rc,BdtTGap3AG,Sant,Z2B
271,Roca Asiento The Gap Inod C/Amort Bco,Rc-AsntoTGapInod-Sant-Z2B,Rc,AsntoTGapInod,Sant,Z2B
272,Roca Inod The Gap Corto Bco,Rc-IndTGapCorto-Sant-Z2B,Rc,IndTGapCorto,Sant,Z2B
273,Roca Placa de Accionamiento Pl1adual Blanca,Rc-PlcAccionamientoBlanc-Sant-Z2B,Rc,PlcAccionamientoBlanc,Sant,Z2B
274,Johns Acces Escurreplatos (Esac Q40),Jhns-Escurreplatos-Sant-Z2B,Jhns,Escurreplatos,Sant,Z2B
275,Johns Pileta Simple (54x36x24) (E 54),Jhns-PletaSimple-Sant-Z2B,Jhns,PletaSimple,Sant,Z2B
276,Amanco SD Valvula Esferica U/D 40MM,Amnco-ValvEsferica40MM-Sant-Z2B,Amnco,ValvEsferica40MM,Sant,Z2B
277,Vulcano Retorno Orientable C/Aro Desem.50MM,Vlcno-RetOrientable50MM-Sant-Z2B,Vlcno,RetOrientable50MM,Sant,Z2B
278,Vulcano Virola C/Aro Desm,Vlcno-VirolaCAro-Sant-Z2B,Vlcno,VirolaCAro,Sant,Z2B
279,Vulcano Filtro VC-30 40MM 50 M3 Soplado,Vlcno-Filtro40mm-Sant-Z2B,Vlcno,Filtro40mm,Sant,Z2B
280,Vulcano Electrobomba Autocebante Bae 0;75HP,Vlcno-ElectroBomba0;75HP-Sant-Z2B,Vlcno,ElectroBomba0;75HP,Sant,Z2B
281,Vulcano Carga Filtrante (VC-30),Vlcno-CargaFiltrante-Sant-Z2B,Vlcno,CargaFiltrante,Sant,Z2B
282,Teflon Alta Densidad 3/4X40,AN-TeflonAltaDen-Sant-Z2B,AN,TeflonAltaDen,Sant,Z2B
283,Lar 11 Tela Esmeril-1 MTS,AN-TelaEsm1MTS-Sant-Z2B,AN,TelaEsm1MTS,Sant,Z2B
284,Amanco SD Te 40,Amnco-Te40-Sant-Z2B,Amnco,Te40,Sant,Z2B
285,Roca Monaco Deposito de Apoyo BCO,Rc-DpsitoApoyoMonaco-Sant-Z2B,Rc,DpsitoApoyoMonaco,Sant,Z2B
286,Inodoro Roca Monaco Largo Bco,Rc-IndlrgMonaco-Sant-Z2B,Rc,IndlrgMonaco,Sant,Z2B
287,Bide Roca Monaco 3 AG Blanco,Rc-BdtMonaco3AG-Sant-Z2B,Rc,BdtMonaco3AG,Sant,Z2B
288,JA C37 CR A304 Doble C/Atrb.70.8X37X15,Jhns-PletaCocinaDobleC37-Sant-Z2B,Jhns,PletaCocinaDobleC37,Sant,Z2B
289,Bacha Peirano Circular Apoyo 32X14;5 Cm,Pei-BchaCircular-Sant-Z2B,Pei,BchaCircular,Sant,Z2B
290,Black Velvet Lavatorio Pared C.C 62-190,Pei-LavBlackV-Sant-Z2B,Pei,LavBlackV,Sant,Z2B
291,Black Velvet Bidet C.C 70-190,Pei-BdtBlackV-Sant-Z2B,Pei,BdtBlackV,Sant,Z2B
292,Black Velvet Ducha Embutir C/T C.C Plus 80-190P,Pei-DchaBlackVCtransf-Sant-Z2B,Pei,DchaBlackVCtransf,Sant,Z2B
293,Daccord T/In Monaco Madera H/Nylon,Pei-AsntoMonaco-Sant-Z2B,Pei,AsntoMonaco,Sant,Z2B
294,Black Velvet Monocomando Cocina 20-190,Pei-CnaBlackV-Sant-Z2B,Pei,CnaBlackV,Sant,Z2B
295,JA Z52/18 A/430 Simple 52X32X18,Jhns-PletaCocinaSimpleZ52/18-Sant-Z2B,Jhns,PletaCocinaSimpleZ52/18,Sant,Z2B
296,Jeluz Bastidor de Embutir 5X10Cm 3 Modulos,Jz-BEmbtr5X10-3Mod-Elect-Z1A,Jz,BEmbtr5X10-3Mod,Elect,Z1A
297,Caño PVC 3/4,AN-CÑPVC3/4-Elect-Z1A,AN,CÑPVC3/4,Elect,Z1A
298,Caño PVC 1,AN-CÑPVC1-Elect-Z1A,AN,CÑPVC1,Elect,Z1A
299,Downligh Medida Linea (L) Cocina,AN-DwnLMedidaLinea(L)-Elect-Z1A,AN,DwnLMedidaLinea(L),Elect,Z1A
300,Colgante c/Acrilico Led 1694MM Tasso,AN-ClganteLed1694MM-Elect-Z1A,AN,ClganteLed1694MM,Elect,Z1A
301,Johns Pileta Doble (85;5x48;2x17;5) S/Dosif (Q 085 a),Jhns-PletaDoble-Sant-Z2B,Jhns,PletaDoble,Sant,Z2B
302,Wd Dokker Vanitory 60 Colg Sint 3Ag Terrarum,AN-Vanitory60Colg3Ag-Sant-Z2B,AN,Vanitory60Colg3Ag,Sant,Z2B
303,Vulcano Skimmer Boca Ancha P/Hormg.38 Cm 119003,Vlcno-BcaAnchaPHormg-Sant-Z2B,Vlcno,BcaAnchaPHormg,Sant,Z2B
304,Vulcano Gabinete P/Eq.Filtrado Vc-30 139995,Vlcno-GabinetePeqFiltrado-Sant-Z2B,Vlcno,GabinetePeqFiltrado,Sant,Z2B
305,Mesadas Retiradas de Solares,AN-MesadasSolares-Sant-Z2B,AN,MesadasSolares,Sant,Z2B
306,CasaBlanca Pro Interior (xLt),CB-ProInterior-Pnt-Z3G,CB,ProInterior,Pnt,Z3G
307,Sica Latex,Sc-Latex-Pnt-Z3G,Sc,Latex,Pnt,Z3G
308,Microalisado de Cemento,AN-MicroAlisadoCem-Pnt-Z3G,AN,MicroAlisadoCem,Pnt,Z3G
309,Masilla Finca,AN-Mcilla-Pnt-Z3G,AN,Mcilla,Pnt,Z3G
310,Loxon Frente,Lox-Frente-Pnt-Z3G,Lox,Frente,Pnt,Z3G
311,Miksa Microallisado de Cemento,Miks-MicroAlisadoCem-Pnt-Z3G,Miks,MicroAlisadoCem,Pnt,Z3G
312,Sherwim Williams Quantum (X lt),SW-SWQuantum-Pnt-Z3G,SW,SWQuantum,Pnt,Z3G
313,Revomax Yeso (X Kg),Rvmx-Yeso-Pnt-Z3G,Rvmx,Yeso,Pnt,Z3G
314,Revomax Pegamento (X Kg),Rvmx-Pegamento-Pnt-Z3G,Rvmx,Pegamento,Pnt,Z3G
315,Sherwim Williams Quantum Cielorraso (X lt),SW-SWQuantumCieloR-Pnt-Z3G,SW,SWQuantumCieloR,Pnt,Z3G
316,Caja de Pase 115X165X110,Gr-CP115X165X110-Elect-Z1A,Gr,CP115X165X110,Elect,Z1A
317,Aire Acondicionado,AN-AA-Elect-Z1A,AN,AA,Elect,Z1A
318,Unidad Exterioir,AN-Unex-Elect-Z1A,AN,Unex,Elect,Z1A
319,Mensula para Aire Acondicionado,AN-MensAA-Elect-Z1A,AN,MensAA,Elect,Z1A
320,"Caños Galvanizados de 4"" de 1m","AN-CÑGalv4""x1M-Sant-Z2B",AN,"CÑGalv4""x1M",Sant,Z2B
321,"Codo Galvanizado de 4"" a 90","AN-CDGalv4""90-Sant-Z2B",AN,"CDGalv4""90",Sant,Z2B
322,"Codo Galvanizado de 4"" a 45","AN-CDGalv4""45-Sant-Z2B",AN,"CDGalv4""45",Sant,Z2B
323,"Sombrero Galvanizado de 4""","AN-SombreroGalv4""-Sant-Z2B",AN,"SombreroGalv4""",Sant,Z2B
324,Ladrillo Refractario color cemento,AN-LadrilloRefractarioClorCement-Crrln-Z3G,AN,LadrilloRefractarioClorCement,Crrln,Z3G
325,Lajas Refrectarias Simil Cemento,AN-LajasRefrectarias-Crrln-Z3G,AN,LajasRefrectarias,Crrln,Z3G
326,Mensulas de 60 cm,AN-Mensu60Cm-Elect-Z1A,AN,Mensu60Cm,Elect,Z1A
327,Black Velvet Lavatorio C.C 60-190,Pei-LavBlackV-Sant-Z2B,Pei,LavBlackV,Sant,Z2B
328,Kalop Conductor Unipolar 6MM Rojo,Kp-CU6-R-Elect-Z1A,Kp,CU6-R,Elect,Z1A
329,Kalop Conductor Unipolar 10MM Celeste,Kp-CU10-C-Elect-Z1A,Kp,CU10-C,Elect,Z1A
330,Kalop Conductor Unipolar 10MM V/Amarillo,Kp-CU10-VY-Elect-Z1A,Kp,CU10-VY,Elect,Z1A
331,Kalop Conductor Unipolar 10MM Rojo,Kp-CU10-R-Elect-Z1A,Kp,CU10-R,Elect,Z1A
332,Reflex 6MM Rojo,Rflx-Rflx6-R-Elect-Z1A,Rflx,Rflx6-R,Elect,Z1A
333,Reflex 2;5MM Rojo,Rflx-Rflx2;5-R-Elect-Z1A,Rflx,Rflx2;5-R,Elect,Z1A
334,Reflex 1;5MM Rojo,Rflx-Rflx1;5-R-Elect-Z1A,Rflx,Rflx1;5-R,Elect,Z1A
335,Reflex 6MM Verde,Rflx-Rflx6-V-Elect-Z1A,Rflx,Rflx6-V,Elect,Z1A
336,Reflex 4MM Verde,Rflx-Rflx4-V-Elect-Z1A,Rflx,Rflx4-V,Elect,Z1A
337,Reflex 2;5MM Verde,Rflx-Rflx2;5-V-Elect-Z1A,Rflx,Rflx2;5-V,Elect,Z1A
338,Reflex 1;5MM Verde,Rflx-Rflx1;5-V-Elect-Z1A,Rflx,Rflx1;5-V,Elect,Z1A
339,Reflex 6MM Celeste,Rflx-Rflx6-C-Elect-Z1A,Rflx,Rflx6-C,Elect,Z1A
340,Reflex 2;5MM Celeste,Rflx-Rflx2;5-C-Elect-Z1A,Rflx,Rflx2;5-C,Elect,Z1A
341,Reflex 1;5 MM Celeste,Rflx-Rflx1;5-C-Elect-Z1A,Rflx,Rflx1;5-C,Elect,Z1A
342,Reflex 1;5MM Negro,Rflx-Rflx1;5-N-Elect-Z1A,Rflx,Rflx1;5-N,Elect,Z1A
343,Kalop Conductor Unipolar 6MM Celeste,Kp-CU6-C-Elect-Z1A,Kp,CU6-C,Elect,Z1A
344,Kalop Conductor Unipolar 6MM V/Amarillo,Kp-CU6-VY-Elect-Z1A,Kp,CU6-VY,Elect,Z1A
345,Reflex 4MM Rojo,Rflx-Rflx4-R-Elect-Z1A,Rflx,Rflx4-R,Elect,Z1A
346,Reflex 4MM Celeste,Rflx-Rflx4-C-Elect-Z1A,Rflx,Rflx4-C,Elect,Z1A
347,Reflex 1;5MM Blanco,Rflx-Rflx1;5-B-Elect-Z1A,Rflx,Rflx1;5-B,Elect,Z1A
